timestamp,msg_type,scan_index,dist_or_yaw,pulse_L_or_ax,pulse_R_or_ay,az,gz
12:52:40.589,S,4,62.0,96.6,40.3,,
12:52:40.718,S,4,64.0,212.1,40.3,,
12:52:40.845,S,4,66.0,147.1,40.3,,
12:52:40.972,S,4,68.0,94.9,39.8,,
12:52:41.035,S,4,70.0,48.7,39.8,,
12:52:41.161,S,4,72.0,48.6,39.8,,
12:52:41.213,S,4,74.0,47.4,39.8,,
12:52:41.341,S,4,76.0,47.8,39.8,,
12:52:41.404,S,4,78.0,47.8,39.3,,
12:52:41.533,S,4,80.0,47.3,39.8,,
12:52:41.597,S,4,82.0,46.9,39.4,,
12:52:41.725,S,4,84.0,46.9,39.8,,
12:52:41.787,S,4,86.0,46.9,39.8,,
12:52:41.901,S,4,88.0,46.9,39.8,,
12:52:41.965,S,4,90.0,46.9,39.7,,
12:52:42.093,S,4,92.0,46.9,39.3,,
12:52:42.150,S,4,94.0,46.9,39.3,,
12:52:42.285,S,4,96.0,46.9,39.8,,
12:52:42.402,S,4,98.0,46.9,40.2,,
12:52:42.465,S,4,100.0,46.9,40.2,,
12:52:42.525,S,4,102.0,46.9,39.8,,
12:52:42.653,S,4,104.0,47.8,40.2,,
12:52:42.781,S,4,106.0,47.4,40.7,,
12:52:42.843,S,4,108.0,47.0,40.7,,
12:52:42.968,S,4,110.0,47.9,41.2,,
12:52:43.030,S,4,112.0,48.8,42.0,,
12:52:43.154,S,4,114.0,47.9,42.1,,
12:52:43.213,S,4,116.0,48.4,42.9,,
12:52:43.341,S,4,118.0,109.2,114.5,,
12:52:43.467,S,4,120.0,106.2,116.8,,
12:52:43.592,S,4,122.0,99.0,115.1,,
12:52:43.717,S,4,124.0,96.8,115.0,,
12:52:43.842,S,4,126.0,112.7,112.5,,
12:52:43.965,S,4,128.0,98.8,113.3,,
12:52:44.029,S,4,130.0,100.3,113.7,,
12:52:44.155,S,4,132.0,97.4,105.6,,
12:52:44.282,S,4,134.0,96.2,103.6,,
12:52:44.407,S,4,136.0,98.6,106.4,,
12:52:44.534,S,4,138.0,97.4,106.0,,
12:52:44.653,S,4,140.0,98.6,102.2,,
12:52:44.717,S,4,142.0,96.9,103.4,,
12:52:44.845,S,4,144.0,96.5,103.0,,
12:52:44.973,S,4,146.0,94.8,101.7,,
12:52:45.101,S,4,148.0,94.8,100.8,,
12:52:45.213,S,4,150.0,96.0,101.6,,
